"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/19/2019","63","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"07/20/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"07/21/2019","49","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"07/22/2019","39","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"07/23/2019","51","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"07/24/2019","51","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"07/25/2019","97","Ozone","WATER PLANT","17-031-7002","AQS"
"07/26/2019","74","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"07/27/2019","71","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"07/28/2019","71","Ozone","TAFT HS","17-031-1003","AQS"
"07/29/2019","59","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"07/30/2019","35","Ozone","COOK COUNTY TRAILER","17-031-1601","AQS"
"07/31/2019","33","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"08/01/2019","48","Ozone","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/02/2019","93","Ozone","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/03/2019","133","Ozone","COOK COUNTY TRAILER","17-031-1601","AQS"
"08/04/2019","71","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"08/05/2019","80","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"08/06/2019","50","Ozone","WATER PLANT","17-031-7002","AQS"
"08/07/2019","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"08/08/2019","44","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/09/2019","49","Ozone","TAFT HS","17-031-1003","AQS"
"08/10/2019","93","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"08/11/2019","64","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"08/12/2019","67","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/13/2019","64","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/14/2019","53","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/15/2019","46","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/16/2019","53","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/17/2019","55","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/18/2019","50","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/19/2019","58","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/20/2019","56","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/21/2019","55","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/22/2019","45","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/23/2019","33","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/24/2019","38","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"08/25/2019","45","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"08/26/2019","48","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"08/27/2019","45","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
