"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/10/2019","36","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/11/2019","67","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/12/2019","52","PM10","VILLAGE HALL","17-031-1016","AQS"
"12/13/2019","64","PM10","VILLAGE HALL","17-031-1016","AQS"
"12/14/2019","81","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"12/15/2019","62","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/16/2019","60","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/17/2019","78","PM2.5","GRAVES ES","17-031-3301","AQS"
"12/18/2019","42","PM10","VILLAGE HALL","17-031-1016","AQS"
"12/19/2019","67","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/20/2019","90","PM2.5","GRAVES ES","17-031-3301","AQS"
"12/21/2019","68","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/22/2019","60","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/23/2019","71","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/24/2019","66","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/25/2019","53","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/26/2019","57","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/27/2019","61","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"12/28/2019","88","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AQS"
"12/29/2019","50","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"12/30/2019","28","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"12/31/2019","30","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"01/01/2020","31","PM2.5","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"01/02/2020","38","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/03/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/04/2020","47","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/05/2020","29","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"01/06/2020","35","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"01/07/2020","35","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"01/08/2020","31","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"01/09/2020","33","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/10/2020","61","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"01/11/2020","34","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"01/12/2020","44","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"01/13/2020","51","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/14/2020","61","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/15/2020","77","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"01/16/2020","52","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"01/17/2020","35","PM10","VILLAGE HALL","17-031-1016","AQS"
"01/18/2020","40","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/19/2020","53","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"01/20/2020","51","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/21/2020","57","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/22/2020","59","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"01/23/2020","59","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/24/2020","62","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/25/2020","51","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/26/2020","47","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/27/2020","65","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/28/2020","63","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/29/2020","64","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/30/2020","62","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"01/31/2020","69","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/01/2020","59","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/02/2020","40","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"02/03/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/04/2020","33","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"02/05/2020","35","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"02/06/2020","36","Ozone","NORTHBROOK WATER PLANT","17-031-4201","AQS"
"02/07/2020","52","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/08/2020","59","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/09/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/10/2020","57","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/11/2020","59","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/12/2020","62","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/13/2020","37","NO2","IEPA TRAILER","17-031-3103","AQS"
"02/14/2020","58","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/15/2020","52","PM2.5","GRAVES ES","17-031-3301","AQS"
"02/16/2020","66","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/17/2020","69","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/18/2020","53","PM2.5","GRAVES ES","17-031-3301","AQS"
"02/19/2020","38","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/20/2020","35","Ozone","WATER PLANT","17-031-7002","AirNow"
"02/21/2020","73","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"02/22/2020","48","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"02/23/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/24/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/25/2020","38","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"02/26/2020","39","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AirNow"
"02/27/2020","34","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"02/28/2020","38","NO2","Kingery Near Road #1","17-031-0119","AQS"
"02/29/2020","36","Ozone","COM ED MAINTENANCE BLDG","17-031-0076","AirNow"
"03/01/2020","39","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"03/02/2020","42","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"03/03/2020","42","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/04/2020","45","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"03/05/2020","53","NO2","COOK COUNTY TRAILER","17-031-4002","AQS"
"03/06/2020","38","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"03/07/2020","47","NO2","Kennedy Near Road 2","17-031-0219","AQS"
"03/08/2020","43","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"03/09/2020","53","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AirNow"
"03/10/2020","42","PM2.5","VILLAGE HALL","17-031-1016","AQS"
"03/11/2020","65","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/12/2020","58","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/13/2020","36","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"03/14/2020","35","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"03/15/2020","36","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"03/16/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/17/2020","52","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/18/2020","63","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/19/2020","59","PM2.5","REGIONAL OFFICE BUILDING","17-031-4007","AirNow"
"03/20/2020","40","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"03/21/2020","40","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"03/22/2020","61","PM2.5","VILLAGE HALL","17-031-1016","AQS"
"03/23/2020","60","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/24/2020","77","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/25/2020","66","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/26/2020","58","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/27/2020","60","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"03/28/2020","54","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"03/29/2020","38","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"03/30/2020","41","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"03/31/2020","33","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"04/01/2020","57","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/02/2020","53","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/03/2020","61","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/04/2020","32","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/05/2020","42","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"04/06/2020","52","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"04/07/2020","62","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"04/08/2020","62","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
"04/09/2020","42","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"04/10/2020","40","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"04/11/2020","55","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/12/2020","49","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"04/13/2020","42","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/14/2020","38","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/15/2020","39","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"04/16/2020","42","Ozone","COOK COUNTY TRAILER","17-031-4002","AQS"
"04/17/2020","56","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/18/2020","60","PM2.5","IEPA TRAILER","17-031-3103","AQS"
"04/19/2020","42","Ozone","VILLAGE GARAGE","17-031-0001","AQS"
"04/20/2020","59","PM10","WASHINGTON HS","17-031-0022","AQS"
"04/21/2020","44","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"04/22/2020","54","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"04/23/2020","72","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"04/24/2020","69","PM2.5","VILLAGE GARAGE","17-031-0001","AQS"
"04/25/2020","59","PM2.5","Kingery Near Road #1","17-031-0119","AQS"
"04/26/2020","44","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"04/27/2020","65","PM2.5","GRAVES ES","17-031-3301","AQS"
"04/28/2020","63","PM2.5","SPRINGFIELD PUMP STATION","17-031-0057","AQS"
"04/29/2020","40","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"04/30/2020","42","Ozone","SOUTH WATER FILTRATION PLANT","17-031-0032","AQS"
"05/01/2020","49","PM2.5","LIBERTY SCHOOL","17-031-6005","AQS"
"05/02/2020","57","PM2.5","COM ED MAINTENANCE BLDG","17-031-0076","AQS"
